id,nba_id,display_name,first_name,last_name,roster_status,from_year,to_year,player_code,team_id,team_city,team_name,team_abbreviation,team_code
numeric,numeric,string,string,string,enum,numeric,numeric,string,numeric,string,string,string,string
562,202221,Brian Butch,Brian,Butch,0,2009,2009,brian_butch,0,,,,
563,76318,Donnie Butcher,Donnie,Butcher,0,1961,1965,HISTADD_donnie_butcher,0,,,,
564,76319,Al Butler,Al,Butler,0,1961,1964,HISTADD_al_butler,0,,,,
565,2406,Caron Butler,Caron,Butler,0,2002,2015,caron_butler,0,,,,
566,202364,Da'Sean Butler,Da'Sean,Butler,0,2010,2010,da'sean_butler,0,,,,
567,76320,Greg Butler,Greg,Butler,0,1988,1990,HISTADD_gregory_butler,0,,,,
568,2866,Jackie Butler,Jackie,Butler,0,2004,2006,jackie_butler,0,,,,
569,202710,Jimmy Butler,Jimmy,Butler,1,2011,2018,jimmy_butler,1610612750,Minnesota,Timberwolves,MIN,timberwolves
570,348,Mitchell Butler,Mitchell,Butler,0,1993,2003,mitchell_butler,0,,,,
571,2446,Rasual Butler,Rasual,Butler,0,2002,2015,rasual_butler,0,,,,
572,202779,Dwight Buycks,Dwight,Buycks,1,2013,2017,dwight_buycks,1610612765,Detroit,Pistons,DET,pistons
573,201182,Derrick Byars,Derrick,Byars,0,2011,2011,derrick_byars,0,,,,
574,101115,Andrew Bynum,Andrew,Bynum,0,2005,2013,andrew_bynum,0,,,,
575,101198,Will Bynum,Will,Bynum,0,2005,2014,will_bynum,0,,,,
576,76321,Marty Byrnes,Marty,Byrnes,0,1978,1982,HISTADD_marty_byrnes,0,,,,
577,76322,Tommy Byrnes,Tommy,Byrnes,0,1946,1950,HISTADD_tommy_byrnes,0,,,,
578,76323,Mike Bytzura,Mike,Bytzura,0,1946,1946,HISTADD_mike_bytzura,0,,,,
579,2560,Zarko Cabarkapa,Zarko,Cabarkapa,0,2003,2006,zarko_cabarkapa,0,,,,
580,76324,Barney Cable,Barney,Cable,0,1958,1963,HISTADD_barney_cable,0,,,,
581,203998,Bruno Caboclo,Bruno,Caboclo,1,2014,2018,bruno_caboclo,1610612758,Sacramento,Kings,SAC,kings
582,679,Jason Caffey,Jason,Caffey,0,1995,2002,jason_caffey,0,,,,
583,262,Michael Cage,Michael,Cage,0,1984,1999,michael_cage,0,,,,
584,76326,Gerry Calabrese,Gerry,Calabrese,0,1950,1951,HISTADD_gerry_calabrese,0,,,,
585,201979,Nick Calathes,Nick,Calathes,0,2013,2014,nick_calathes,0,,,,
586,101181,Jose Calderon,Jose,Calderon,1,2005,2018,jose_calderon,1610612739,Cleveland,Cavaliers,CLE,cavaliers
587,154,Adrian Caldwell,Adrian,Caldwell,0,1989,1997,adrian_caldwell,0,,,,
588,76328,Jim Caldwell,Jim,Caldwell,0,1967,1967,HISTADD_jim_caldwell,0,,,,
